title,description,incident_date
Pokhran-II Nuclear Tests,India conducts a series of five nuclear bomb test explosions.,1998-05-11
Statue of Unity Inauguration,The world's tallest statue depicting Sardar Vallabhbhai Patel is inaugurated in Gujarat.,2018-10-31
Demonetisation in India,The Government of India announces the demonetisation of 500 and 1000 rupee notes.,2016-11-08
Chandrayaan-3 Moon Landing,India becomes the first nation to land a spacecraft near the lunar south pole.,2023-08-23
First General Elections in India,India conducts its first democratic elections after independence.,1951-10-25
Discovery of the Higgs Boson,CERN scientists confirm the existence of the "God particle".,2012-07-04
South Africa's First Democratic Elections,Nelson Mandela is elected president as apartheid ends.,1994-04-27
Atomic Bombing of Hiroshima,The first atomic bomb used in warfare is dropped by the US on Japan.,1945-08-06
Spanish Civil War Starts,A major conflict breaks out in Spain leading to the dictatorship of Francisco Franco.,1936-07-17
Discovery of King Tut's Tomb,Howard Carter discovers the intact tomb of the boy king in Egypt.,1922-11-04
Invention of the Polio Vaccine,Jonas Salk develops the first successful vaccine for polio.,1955-04-12
End of the Vietnam War,Saigon falls to North Vietnamese forces ending the long conflict.,1975-04-30
First Space Shuttle Launch,NASA launches Columbia the first reusable spacecraft.,1981-04-12
Signing of the Magna Carta 800th Anniversary,The foundation of modern legal systems celebrated globally.,2015-06-15
Paris Agreement Signing,Countries worldwide commit to climate action at COP21.,2016-04-22
India Wins its First Cricket World Cup,The Indian team led by Kapil Dev defeats the West Indies in London.,1983-06-25
Establishment of ISRO,The Indian Space Research Organisation is formed.,1969-08-15
Operation Blue Star,The Indian military removes militants from the Golden Temple in Amritsar.,1984-06-01
Kargil War,An armed conflict between India and Pakistan in the Kargil district.,1999-05-03
The Emergency in India,Prime Minister Indira Gandhi declares a 21-month state of emergency.,1975-06-25
Reservation Policy in India (Mandal Commission),The government implements 27% reservation for Other Backward Classes.,1990-08-07
The Wright Brothers First Flight,The first powered and controlled flight by humans (historic context).,1903-12-17
Signing of the Indian Constitution,The Constituent Assembly signs the final document which comes into effect soon after.,1950-01-24
World War II Ends,Victory in Europe and Pacific days mark the end of the global conflict.,1945-09-02
First Modern Olympic Games,The revival of the ancient games takes place in Athens (historic context).,1896-04-06
Invention of the World Wide Web,Tim Berners-Lee proposes the system at CERN.,1989-03-12
Discovery of Pluto,Clyde Tombaugh discovers the ninth planet (later dwarf planet).,1930-02-18
Assassination of Mahatma Gandhi,The father of the nation is shot in Delhi.,1948-01-30
Inauguration of the Statue of Liberty,The monumental gift from France is dedicated in New York (historic context).,1886-10-28
Construction of the Great Wall of China,The wall stretches across thousands of miles to protect dynasties (historic context).,0221-01-01
Voyager 1 Leaves the Solar System,Humanity's first object to reach interstellar space.,2012-08-25
First Human in Space,Yuri Gagarin completes one orbit of Earth.,1961-04-12
Establishment of the European Union,The Maastricht Treaty comes into force.,1993-11-01
Nelson Mandela's Release,The anti-apartheid leader is freed after 27 years.,1990-02-11
Discovery of Penicillin,Alexander Fleming finds the mold that kills bacteria.,1928-09-28
Indian Air Force Foundation,The air arm of the Indian Armed Forces is established.,1932-10-08
Establishment of IIT Kharagpur,The first Indian Institute of Technology is inaugurated.,1951-08-18
Bhopal Gas Tragedy,A lethal gas leak from a Union Carbide plant causes thousands of deaths.,1984-12-02
Foundation of the Indian National Congress,The political organization that led the independent movement (historic context).,1885-12-28
White Revolution in India,Operation Flood makes India the world's largest milk producer.,1970-01-13
Quit India Movement,Mahatma Gandhi launches the movement demanding British withdrawal.,1942-08-08
Subhash Chandra Bose Forms INA,The Indian National Army is revived to fight for independence.,1943-10-21
Partition of India and Pakistan,The division leads to the largest mass migration in human history.,1947-08-14
Formation of Pakistan,Mohammed Ali Jinnah becomes the Governor-General of the new nation.,1947-08-14
Signing of the Shimla Agreement,India and Pakistan sign a peace treaty after the 1971 war.,1972-07-02
Indira Gandhi Becomes PM,First female Prime Minister of India takes office.,1966-01-24
Narendra Modi Becomes PM,The NDA government takes office leading to significant policy changes.,2014-05-26
Establishment of Reserve Bank of India,The central bank of India begins operations.,1935-04-01
Nationalisation of 14 Major Banks,The Indian government nationalises the country's largest private banks.,1969-07-19
Kumbh Mela 2013,The largest religious gathering in human history takes place in Allahabad.,2013-01-14
Mumbai Terrorist Attacks (26/11),Coordinated attacks by Lashkar-e-Taiba militants across Mumbai.,2008-11-26
First Successful Nuclear Test by India (Smiling Buddha),India conducts a peaceful nuclear explosion in Pokhran.,1974-05-18
India Wins 28-Year Drought World Cup,MS Dhoni leads India to victory in Mumbai.,2011-04-02
Launch of GSLV Mark III,ISRO launches its heaviest rocket ever.,2017-06-05
GST Implementation in India,The Goods and Services Tax replaces multiple indirect taxes.,2017-07-01
Sikkim Becomes Part of India,The Himalayan kingdom officially joins the Indian union.,1975-05-16
Bangladesh Liberation War,India assists in the creation of a new nation from East Pakistan.,1971-12-16
First Indian in Space (Rakesh Sharma),Squadron Leader Rakesh Sharma travels aboard Soyuz T-11.,1984-04-03
Foundation of Bombay Stock Exchange,The oldest stock exchange in Asia is established (historic context).,1875-07-09
Establishment of DRDO,Defence Research and Development Organisation is formed.,1958-01-01
First Asian Games in Delhi,The inaugural continental multi-sport event is hosted by India.,1951-03-04
Indus Valley Civilisation Excavation,Major discoveries at Harappa and Mohenjo-Daro (historic context).,1921-01-01
Battle of Plassey,The East India Company defeats the Nawab of Bengal (historic context).,1757-06-23
Sepoy Mutiny (First War of Independence),Indian soldiers revolt against British rule (historic context).,1857-05-10
Creation of Andhra State,The first state in India formed on a linguistic basis.,1953-10-01
Formation of Maharashtra and Gujarat,The Bombay State is bifurcated leading to two new states.,1960-05-01
End of Apartheid in South Africa,Global celebrations mark the end of racial segregation.,1994-05-10
Creation of the State of Israel,The Jewish state is established in the Middle East.,1948-05-14
Cuban Missile Crisis,A 13-day confrontation between the US and the USSR brings the world to the brink of nuclear war.,1962-10-16
Chernobyl Nuclear Disaster,The worst nuclear power plant accident in history occurs in Ukraine.,1986-04-26
Hubble Space Telescope Launch,NASA puts the first major optical telescope into space.,1990-04-24
Launch of SpaceX Falcon 1,The first private liquid-fueled rocket reaches orbit.,2008-09-28
First Draft of the Human Genome Project,Scientists map the entire human genetic code.,2000-06-26
Mars Pathfinder Landing,The first rover Sojourner explores the Martian surface.,1997-07-04
Founding of Google,Larry Page and Sergey Brin incorporate the search engine giant.,1998-09-04
Launch of ChatGPT,OpenAI releases a conversational AI that changes public perception of technology.,2022-11-30
Abrogation of Article 370,The Indian government revokes the special status of Jammu and Kashmir.,2019-08-05
Ram Mandir Inauguration in Ayodhya,A landmark cultural and religious event in Indian history.,2024-01-22
India Surpasses China in Population,India officially becomes the world's most populous nation.,2023-04-24
Launch of Aditya-L1 Mission,India's first solar observatory mission is launched.,2023-09-02
Announcement of Chandrayaan-4,ISRO reveals plans for a lunar sample return mission.,2024-01-01
